"ref_area","ref_area.label","source","source.label","indicator","indicator.label","time","obs_value"
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2020",9541.78
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2019",8842.52
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2018",8846.72
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2017",9089.12
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2016",9081.31
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2015",9061.43
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2014",9195.07
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2013",9413.78
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2012",9349.19
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2011",8778.63
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2010",9213.86
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2009",8347.31
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2008",7197.81
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2007",7040.09
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2006",6229.93
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2005",6207.3
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2004",5825.17
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2003",5992.54
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2002",5947.61
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2001",4261.46
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","2000",4540.15
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","1999",4848.89
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","1998",5279.24
"AFG","Afghanistan","XA:2198","ILO - Modelled Estimates","GDP_211P_NOC_NB","Output per worker (GDP constant 2017 international $ at PPP) -- ILO modelled estimates, Nov. 2022","1997",5725.74
